date,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
2023-02-03,1024.7,19.7,16.5,14.6,11.5,73,43,9.9,70,34.2,0
2023-02-04,1014.5,25.3,21.9,19.9,19.5,86,83,3.6,50,8.3,0
2023-02-05,1011.5,23.4,22.2,20.4,20.9,92,90,0.5,50,23.7,1
2023-02-06,1007.8,32.8,30.1,28.6,26.2,80,73,7.2,230,31.7,0
2023-02-07,1008.9,33,30.1,27.7,26,79,78,5.3,190,21.9,1
2023-02-08,1011.2,32.2,28.9,26.9,24.6,78,69,10.7,20,11.8,0
2023-02-09,1007.8,28.9,27.4,25.7,25.4,89,87,0.4,50,8.6,1
2023-02-10,1013,31.7,28.8,26.4,25.3,81,84,2.9,30,7.9,1
2023-02-11,1020.9,24.5,22.9,20.5,17.8,73,61,4.3,20,29.6,0
2023-02-12,1017.6,25.1,22.9,22,19,79,85,2,70,25,0
2023-02-13,1012.5,25.9,23.1,21.3,21.1,89,76,3.5,200,10.2,0
2023-02-14,1014.8,24.6,21.7,17.4,18.1,81,82,3.9,20,15.3,1
2023-02-15,1024.3,17.5,13.2,11.4,6.6,64,88,0,20,33.5,1
2023-02-16,1025.4,15.1,12.8,10.9,6,63,89,0.7,20,23.5,0
2023-02-17,1024.1,14.4,12.9,11.6,8.9,77,91,0,20,19.2,1
2023-02-18,1021.9,15,13.7,11.7,11.8,89,95,0,40,18.6,1
2023-02-19,1020.3,16.3,15.3,14.6,13.3,88,94,0,40,22.2,1
2023-02-20,1023.2,20.1,16,12.5,9.6,67,55,5.9,20,23.9,1
2023-02-21,1022.2,15.9,15,14.7,11,77,82,0,70,44.7,1
2023-02-22,1020.6,17.6,16.1,14.6,14.7,91,88,0.3,50,24.4,1
2023-02-23,1022.3,16.7,15.5,13.7,14.3,92,88,0,20,19.3,1
2023-02-24,1027.5,15.5,13.7,12.3,10,78,88,0,20,28,1
2023-02-25,1028.9,16.8,14.8,13.5,10.5,76,87,0.1,20,20.4,0
2023-02-26,1027.4,17.6,15.2,14,11.6,79,88,0.2,30,15.2,1
2023-02-27,1024.7,17.5,15.5,13.8,11.7,79,79,5,20,9.1,1
2023-02-28,1023.8,20.9,16.6,13.3,11.5,72,49,9.5,20,9.2,0
2023-03-01,1019.7,20.3,19.3,18,18.4,95,91,0,40,14.2,1
2023-03-02,1023.6,14.3,12.5,10.3,8.6,77,88,0.3,40,21.3,1
2023-03-03,1023.8,20.6,16.6,14.4,11.4,72,32,10.6,60,27.1,0
2023-03-04,1015.6,23.8,21.3,19.8,19.6,90,81,1.5,40,14.5,1
2023-03-05,1011,29.8,25.6,22.8,23.6,89,82,2,50,11.1,1
2023-03-06,1006,33,30.3,28.7,26.3,79,58,10,230,27.4,0
2023-03-07,1009.1,32,29.4,26.9,26,82,86,2.7,200,21.9,1
2023-03-08,1011.6,32.3,28.9,26.8,24.5,78,54,11.4,100,9.8,0
2023-03-09,1010.9,27.7,25.8,24.5,24.8,94,88,0,110,16.5,1
2023-03-10,1012.4,31.6,27.9,26.5,23.1,76,82,4.2,10,30.6,1
2023-03-11,1019.8,26,22.6,19.7,16,67,72,7.5,20,22.5,1
2023-03-12,1017.1,25,23.3,22.2,19.6,80,69,6.3,70,15.9,1
2023-03-13,1017.7,14.5,13.6,12.7,11.4,87,100,0,50,36,1
2023-03-14,1014.5,17,15.8,14.4,15.1,96,99,0,50,22.8,1
2023-03-15,1018,16.5,15.3,14.2,12.4,83,89,1.1,20,26.7,1
2023-03-16,1017.1,15.5,14.8,14,11.1,79,94,0,70,38,1
2023-03-17,1015,16.3,15.3,14.1,13.6,90,100,0,60,33.2,1
2023-03-18,1014.3,17.4,16.5,15.6,16,97,97,0,50,26.5,1
2023-03-19,1012,21.9,19.5,17.2,19,97,92,0.1,30,13.1,1
2023-03-20,1013,24.9,22.4,20.3,21.4,94,85,1.5,40,12.5,1
2023-03-21,1014.7,23.1,19,17.6,17.4,91,96,0,50,28,1
2023-03-22,1014.8,18.2,17.1,16.4,16.3,95,95,0.1,60,38.3,1
2023-03-23,1013.4,17.3,16.6,15.9,16,96,100,0,50,33.5,1
2023-03-24,1012.8,20.6,18.4,17.1,18,97,95,0.6,40,22,1
2023-03-25,1020.2,17.7,15.3,12.7,14.9,98,99,0,70,42,1
2023-03-26,1023.9,15.7,13.7,11.6,9.2,75,88,0.2,20,19.4,1
2023-03-27,1023.6,20.2,15.8,12.6,9.8,68,22,11.1,70,13.4,0
2023-03-28,1024.1,22.4,17.3,14.6,8.4,58,19,11.1,30,14.6,0
2023-03-29,1024.1,19.9,16.9,15.2,10,65,58,5.6,60,26.9,0
2023-03-30,1021.4,19.4,17.7,15.7,9.6,59,74,2.4,50,20.5,1
2023-03-31,1018.3,22.2,20,18.4,16.3,79,89,2.4,40,14.8,1
2023-04-01,1018.9,22.3,20.6,19.1,18.8,90,88,1,50,16.9,1
2023-04-02,1021.8,18.8,15.2,13.3,10.9,76,45,9.2,40,9.1,0
2023-04-03,1020.9,23.8,18.7,15.4,14,75,46,10,40,14.7,0
2023-04-04,1014.6,26.5,23,21,20.7,87,88,2.3,50,9.2,0
2023-04-05,1011.4,30.8,26.5,22.8,23.9,86,84,3.1,220,11.8,1
2023-04-06,1006.5,32.4,30.3,29,26.5,80,77,5.2,220,28.8,1
2023-04-07,1008.7,31.5,29.4,27.3,25.8,82,84,1.8,190,25.1,1
2023-04-08,1010.6,33.3,29.5,27.3,24.5,75,38,10.3,20,5.5,0
2023-04-09,1013,29,27.6,25.8,25.8,90,87,0.7,60,18.2,1
2023-04-10,1011.7,29.7,26.8,24.2,23.7,83,88,1.6,60,52.8,1
2023-04-11,1019.5,25.8,23.7,22.3,18.8,74,82,2.4,70,32.9,1
2023-04-12,1019.4,22.3,20.8,19.6,16.5,77,93,0,20,27.9,1
2023-04-13,1009.1,21.3,20.3,19.9,19.3,94,88,0,70,29.8,1
2023-04-14,1005.5,25.1,21.8,20.9,21.6,98,93,0,40,14.5,1
2023-04-15,1008.5,25.2,23.1,21.6,22.8,98,88,0,30,11.2,1
2023-04-16,1011.4,23.5,21.1,20.6,20.6,97,88,0,30,20,1
2023-04-17,1010.5,28.1,24.7,20.6,22.7,89,81,3.5,210,15.3,1
2023-04-18,1010.9,27.5,25.9,24.1,24.2,90,86,1.1,190,16,1
2023-04-19,1014.4,26.7,23.1,20.1,20.8,87,81,1.2,80,19.6,1
2023-04-20,1017.4,21.8,20.5,20.1,18.1,86,88,0,70,35.3,1
2023-04-21,1014.6,22.9,21.6,20.2,19.5,88,89,0.2,40,20.9,1
2023-04-22,1012.5,28.4,24.6,22,22.3,87,80,4.8,30,7.3,1
2023-04-23,1010.7,26.1,23.7,21,22,90,81,1,300,11.1,1
2023-04-24,1008.2,27.7,24.9,22.6,22.8,88,81,0.3,240,13,1
2023-04-25,1008.7,26.1,24.4,23.2,23.2,93,84,1.4,190,8.5,1
2023-04-26,1009.8,28.4,26,23.9,24.3,90,83,3.1,180,13,1
2023-04-27,1009.5,28.5,27.2,26,24.5,86,87,1.3,200,24.2,1
2023-04-28,1008.2,29.1,26.8,25.4,24,85,83,3.6,230,20.2,1
2023-04-29,1010.4,28.2,26,24.7,23,84,78,4.6,50,12.5,1
2023-04-30,1013.9,26.3,24.1,22.9,19.6,76,68,6,90,30.5,1
2023-05-01,1015.9,21.3,20.7,20.2,19.9,95,81,0,40,13.7,1
2023-05-02,1021.2,18.6,14.8,12.3,8.4,66,18,10.1,20,24.4,0
2023-05-03,1018.1,23.2,20.2,18.1,16.9,82,71,3,40,15.4,0
2023-05-04,1012.5,28.1,23.6,20.7,21.4,88,84,2.2,120,8,1
2023-05-05,1011.4,28.2,25.8,23.2,23.4,87,82,2.7,40,9.2,1
2023-05-06,1007.9,33.8,28.7,24.7,25.4,83,75,5.5,220,20.8,1
2023-05-07,1006.6,33,30.1,28,25.9,78,83,6.8,180,33,1
2023-05-08,1008.3,33.3,29.4,26.8,24.1,74,29,5.7,10,4.4,0
2023-05-09,1013.1,32.9,29.1,27,25.7,82,60,8.7,80,9.8,0
2023-05-10,1013.2,27.8,26.7,24.9,25.2,92,95,0,120,50.7,1
2023-05-11,1018.1,26.6,24.7,23.1,20.4,77,83,3,80,29.8,1
2023-05-12,1021.1,21,19.5,18.4,14.9,75,88,0.6,50,37.9,1
2023-05-13,1009.8,27.6,25.1,23.7,21.4,80,78,5,70,28.6,1
2023-05-14,1012.4,27.8,25.5,24.4,22.2,82,88,1.2,50,24.9,1
2023-05-15,1014.2,27.7,25.4,24,23.4,89,86,2.8,70,28.3,1
2023-05-16,1012.1,29.8,26.6,24.4,23.7,85,75,7.7,50,15.7,1
2023-05-17,1011.2,27.1,24.8,22.5,19.4,73,69,7.2,10,21.9,1
2023-05-18,1012.3,24.6,23.7,23.2,20.1,80,86,0.3,80,39.5,1
2023-05-19,1012,26.3,24.5,23.4,19.9,76,79,4.8,70,30.3,0
2023-05-20,1009.9,28.1,25.5,24,22.5,84,85,3.5,70,26.4,1
2023-05-21,1006.9,26.2,25.2,24.3,24.2,94,88,0.1,40,22.3,1
2023-05-22,1005.9,28.3,26.5,24.7,24.3,88,77,1.9,230,25.9,1
2023-05-23,1007.8,30.8,27.2,25.3,22.7,77,63,5.6,20,11.3,0
2023-05-24,1008.4,28.9,26.8,24.8,23.2,81,65,6.4,20,7.9,1
2023-05-25,1007.9,30.7,27.5,25.4,24.1,82,61,7.6,180,7.4,1
2023-05-26,1007.8,30.9,28,26.2,24.7,82,62,8.8,100,16.2,1
2023-05-27,1007.6,29.5,27.6,26.7,24.8,85,84,1.8,70,34.8,1
2023-05-28,1006.4,29.1,27.5,26,25.5,89,88,1.2,130,32.5,1
2023-05-29,1007.6,30.3,27.7,24.5,25.6,89,89,1.2,200,24,1
2023-05-30,1007.9,31,29.1,27.2,26.1,84,77,3.6,210,19,1
2023-05-31,1008.8,32.1,29.8,28,26,80,73,9.8,220,22.8,1
2023-06-01,1018.8,24.3,20.9,19.2,18,84,51,7.7,20,14.5,1
2023-06-02,1024.9,17.4,13.6,11.2,0.3,39,13,10.2,20,44.7,0
2023-06-03,1016.7,23.1,20.8,19.2,16.9,79,83,0.5,30,13.3,1
2023-06-04,1013.3,24.4,22.3,20.7,20.8,91,78,1,40,14.8,1
2023-06-05,1010.5,30.9,28.1,26.2,25.1,84,85,2,180,15.4,0
2023-06-06,1008.8,30.4,26.9,25,24.3,86,87,0.7,20,9.8,1
2023-06-07,1007.5,32.6,29,25.8,26.5,87,88,5.4,130,22.5,1
2023-06-08,1006.1,33.3,29.6,27.6,24.4,74,27,10.8,220,8.7,0
2023-06-09,1011.1,31.9,29.3,27.2,24.8,78,38,11,220,11.7,0
2023-06-10,1015.2,27.8,26.7,25.4,25.4,93,88,0.9,100,37,1
2023-06-11,1016.1,28.2,25.8,24.5,22,80,82,6.5,70,28.3,1
2023-06-12,1018.4,20.3,18.4,15.7,15.8,85,91,0.1,70,41.3,1
2023-06-13,1005.7,29.2,27.1,25.4,25.8,93,96,0,220,29.8,1
2023-06-14,1005,31.5,29.7,28.5,26.7,84,90,1.3,220,24.3,1
2023-06-15,1004.2,31.7,30.2,29.2,26.6,81,88,2.4,220,30,1
2023-06-16,1005.3,32,30.3,29.3,26.3,79,86,1.6,210,29.3,1
2023-06-17,1006.7,31.4,29.4,28.2,25.9,82,88,1.6,230,23.2,1
2023-06-18,1008.2,32.1,29.4,26.7,25.9,82,85,7.2,220,12.8,1
2023-06-19,1010.5,30.8,29.3,27.7,26,83,81,2.3,200,19.8,1
2023-06-20,1010.3,34.2,30.1,27.8,26.1,80,41,12,130,12.4,0
2023-06-21,1008.5,34.4,30.8,28.6,26.3,78,59,9.1,170,12.1,1
2023-06-22,1009.3,33.7,30.6,28.7,25.6,75,51,10,200,12.6,0
2023-06-23,1009.5,33.7,30.5,28.5,25.3,75,32,9.3,220,10.9,0
2023-06-24,1008.4,34.1,30.4,28.4,24.7,72,20,11.4,210,9.6,0
2023-06-25,1008.1,35.2,31,28.8,25,72,38,11.2,180,9,0
2023-06-26,1008.9,35.5,31.4,28.9,26.1,74,39,10.6,150,9.1,0
2023-06-27,1009.1,35.1,31.3,29.4,26.3,75,57,9.9,160,11.9,1
2023-06-28,1007.5,35.1,31.1,28.6,26.7,78,61,8.6,60,15.7,1
2023-06-29,1007.5,32.3,29.1,26.3,26.3,85,83,4.2,220,26.1,1
2023-06-30,1010,33.3,29,27.5,26.7,87,79,3.9,160,23.4,1
2023-07-01,1021.8,21.4,18.8,17,15,79,56,3.4,30,21.5,0
2023-07-02,1026.1,18.1,13.7,9.9,1.7,36,2,10.2,20,20.5,0
2023-07-03,1015.8,25.9,21.8,19.2,18,79,72,7.6,220,6.6,0
2023-07-04,1013.3,26.5,23.1,21.5,21.6,91,83,6.9,70,20,0
2023-07-05,1009.9,30.5,28.4,27.2,25.3,83,84,2.9,190,15.5,0
2023-07-06,1008.8,29.1,26.2,24.8,24.7,91,80,2.2,20,11.2,1
2023-07-07,1008.4,28.8,27.3,24.7,26,93,88,0.5,130,24.8,1
2023-07-08,1005.3,33.1,30.1,27.8,24.2,72,29,10.6,220,6.1,0
2023-07-09,1008.1,32.3,29.6,27.8,25.6,79,43,9.7,240,24.9,0
2023-07-10,1014.1,26.8,26,25.3,25.4,97,86,0.4,100,30.4,1
2023-07-11,1015.6,26.3,25.5,24.7,22.4,83,81,0.5,80,30.2,1
2023-07-12,1021.3,18.1,16.6,15.4,12.2,76,91,0.1,10,28.4,1
2023-07-13,1003.8,29,28.1,27,25.1,84,88,0,230,16.3,1
2023-07-14,1005,31.7,28.6,25.6,26.1,87,82,2.2,160,12.6,1
2023-07-15,1006.8,30.3,28.9,26.4,26.2,86,83,0.2,230,14.3,1
2023-07-16,1007,33,30.2,28.6,26.4,81,78,6.2,230,22.4,1
2023-07-17,1008.1,33.2,30.6,29,26.4,79,69,8.5,240,25.1,1
2023-07-18,1008.5,33.2,30.6,29,26.2,78,69,9.2,230,23.7,0
2023-07-19,1007.5,32.4,30.4,28.7,25.3,74,72,10.1,230,23.7,1
2023-07-20,1007.9,32.3,29.9,26.7,25.8,79,78,4.1,220,25.1,1
2023-07-21,1009.8,31.9,29.2,25.6,25.6,82,70,6.4,220,22.6,1
2023-07-22,1010.9,33.3,30,27.5,25.3,76,49,8.8,220,12.3,1
2023-07-23,1010.3,32.9,30,28.1,25.2,76,29,11.4,240,14.5,0
2023-07-24,1008.9,32.8,30,28,25.4,77,32,11.9,250,21.6,0
2023-07-25,1008.4,34,30.4,28,24.6,72,21,12.1,240,16,0
2023-07-26,1008.6,35,30.8,28.3,25.5,74,28,11,130,8.3,0
2023-07-27,1008.3,32,29.4,27,26.4,84,57,7.4,60,17.5,1
2023-07-28,1009.3,33.4,30.2,28,25.3,76,44,10.1,200,9.5,1
2023-07-29,1009.7,32.9,30.1,28.1,24.8,74,29,11.8,240,12.8,0
2023-07-30,1008.5,33.7,30.3,27.6,24.9,74,32,11.8,260,21.9,0
2023-07-31,1006.6,33.5,29.9,28.7,24.7,74,49,6.3,270,16.1,1
2023-08-01,1020.8,21,18.4,16.5,14.4,78,28,7.7,60,14.3,0
2023-08-02,1023.9,19.6,14.8,11.6,4.3,52,0,10.2,40,16.7,0
2023-08-03,1014.9,21.3,19.7,18.9,18.2,91,76,0,40,13.8,1
2023-08-04,1013.2,26.9,23.9,22.4,22.3,91,84,1.8,40,10,0
2023-08-05,1010.6,31,28.7,27.1,25.1,81,69,4.7,170,12.1,0
2023-08-06,1008.1,30.7,28.1,26.3,25.4,86,75,5.7,20,9.5,1
2023-08-07,1005.9,34,30.2,27.9,25.6,77,53,10.5,270,11.3,1
2023-08-08,1003.4,33.3,30.7,28.2,24.9,72,40,10,290,10.9,0
2023-08-09,1007.2,29.6,28.3,26.7,25.9,87,82,0.5,250,21.3,1
2023-08-10,1012.7,27.6,26.4,25,25,92,85,0.7,140,12.5,1
2023-08-11,1016.3,28.4,26.2,25.2,23.4,85,87,3.4,80,24.8,1
2023-08-12,1023.1,19.3,17.3,15.4,12.1,72,86,0.9,10,21.8,0
2023-08-13,1007.9,33.7,30,27.8,25.8,79,78,9.1,220,11.9,1
2023-08-14,1007.9,29.6,28,26.4,25.6,87,84,0.1,230,22.9,1
2023-08-15,1007.4,28.8,26.9,25.6,25.1,90,88,0.2,210,12.9,1
2023-08-16,1008.5,28.6,27,24.9,25,89,88,0.3,220,14.2,1
2023-08-17,1008.5,31.2,29.2,26.9,26.5,86,88,0.2,230,18,1
2023-08-18,1008.2,32.4,29.9,28.3,26.6,83,81,8.4,230,20.5,1
2023-08-19,1008,33.8,30.2,28.4,25.8,78,67,10.2,220,18.1,1
2023-08-20,1007.7,32.8,30.1,28.1,25.7,77,59,10.4,230,16.6,0
2023-08-21,1006.3,31.2,29.1,26.8,26.1,84,67,5,270,6.9,1
2023-08-22,1002.2,33.4,30,26.9,25.5,77,70,7.7,350,13.6,0
2023-08-23,1000.1,32,30.2,28.4,24.4,71,48,6.1,10,12,1
2023-08-24,1000,32.9,30.6,28,24.2,69,30,7.6,220,11.7,1
2023-08-25,1002.4,33.2,30.7,28.3,24.3,70,48,7.8,10,11,0
2023-08-26,1005.5,34.4,30.6,27.9,23.2,65,22,9.1,10,10.7,0
2023-08-27,1008.1,31.7,28.9,27.8,25.3,81,78,1.1,40,16.4,1
2023-08-28,1008.1,32.4,29,27,25,79,75,6.7,200,12,0
2023-08-29,1006.5,31.2,28.3,26.9,24.4,79,84,4.5,210,8.9,1
2023-08-30,1006.2,29.6,27.8,26.5,24.8,84,87,3.1,230,11,1
2023-08-31,1006.8,27.9,26.6,25.8,25.2,92,88,0,220,5.9,1
2023-09-01,1020.6,18.9,18.1,17.1,14.3,78,79,3.3,70,39.3,0
2023-09-02,1020.8,21.2,16.7,12.7,7.2,54,29,10.2,40,17.2,0
2023-09-03,1012.5,21.5,20.1,18.9,18.9,93,88,0.3,40,15.3,0
2023-09-04,1013.3,27.9,25.3,23.2,22.9,87,84,2.5,40,9.1,1
2023-09-05,1011.4,31.2,28.7,27.3,25.2,82,80,3.8,150,9.5,0
2023-09-06,1006.3,30,27.1,24.1,25.1,89,85,3.1,190,12.6,1
2023-09-07,1001,34.2,31,28.1,25.9,75,46,10.4,280,23.5,0
2023-09-08,998.5,36.3,32.4,30,24,62,55,10.8,290,17.2,0
2023-09-09,1009.4,30.7,27.9,26.4,23.1,75,60,8.3,60,29,0
2023-09-10,1010.5,30,27.8,26.1,23.1,76,54,10.6,300,13,0
2023-09-11,1016.4,28.7,26.5,25.5,23.6,84,70,5.9,70,18,1
2023-09-12,1022.2,19,18,17,14.1,78,90,0,30,28.5,1
2023-09-13,1011.5,30.5,27.9,26.2,23.2,76,66,6.7,90,22.6,1
2023-09-14,1013,31.2,28,25.8,21.4,68,49,9.2,50,39.9,0
2023-09-15,1012.2,31.4,28,25.9,22.1,71,46,9.3,60,41.3,0
2023-09-16,1011.3,31.9,28.6,26.5,23.1,73,60,9,70,39.5,0
2023-09-17,1011.9,31,28.1,26.9,24.5,81,86,2.1,70,32.2,1
2023-09-18,1014.6,30.6,28.2,27.1,24.2,79,72,7.1,70,27.4,1
2023-09-19,1015,31.8,28.5,26.8,24,77,47,8.6,70,14.5,1
2023-09-20,1012.2,30.6,28.3,26.8,24.3,79,67,3.8,180,8.1,0
2023-09-21,1009.3,31.1,28.7,27.1,24.5,78,74,7.7,200,14.5,1
2023-09-22,1008.6,28.7,27.4,25.5,23.8,81,88,0.4,190,11.9,1
2023-09-23,1009.9,31,28.1,26.3,25.5,86,67,8.8,110,14.8,1
2023-09-24,1009.1,32,28.9,27.3,25.3,81,40,6.8,110,10.2,1
2023-09-25,1006.7,32,29.3,27.4,24.7,77,23,11.1,230,17.3,0
2023-09-26,1004.9,32.2,29.7,28.1,25.3,78,38,11,230,20.5,0
2023-09-27,1006.7,32.2,28.7,26.9,26.3,87,71,4.7,90,14,1
2023-09-28,1008.2,30.2,27.8,26.5,25,85,81,2.5,90,15.1,1
2023-09-29,1006.7,32.8,29,25.8,20.6,61,30,11.1,10,16.4,0
2023-09-30,1005.6,31.3,29.7,27.4,20,56,53,10.4,230,15.5,0
2023-10-01,1017.5,18.5,18,17.2,15.5,85,91,0,70,37.7,1
2023-10-02,1017.5,17.3,16.6,15.3,9.8,64,77,0.1,40,22,1
2023-10-03,1012.5,22.9,20.8,17.1,19.9,95,88,0.6,50,15.1,1
2023-10-04,1011.6,27.5,25.7,24.4,23.2,86,88,1.2,200,17.3,1
2023-10-05,1010.1,30.6,28.7,26.9,25,81,69,3.9,170,16.3,0
2023-10-06,1005.7,31.7,28.2,26.6,25.7,86,79,6.5,,,1
2023-10-07,999,35.6,31.5,26.4,26.4,75,57,10,280,25,1
2023-10-08,998.5,34.7,31,26.9,24.8,71,80,10,220,26.4,1
2023-10-09,1012,31.2,28.2,26.5,23,74,44,10.1,70,26.2,1
2023-10-10,1011.3,29.4,26.8,24.8,20.9,70,45,7.1,20,20.4,1
2023-10-11,1015.8,30.3,26.7,24.8,23.3,82,58,7.7,50,12.8,1
2023-10-12,1016.8,18.9,17.7,16.9,16.8,95,95,0,60,35.1,1
2023-10-13,1019,24.9,23.1,21,16.8,67,88,0,50,28.2,1
2023-10-14,1018.7,27.8,25.1,23.3,19.1,70,68,10.5,70,32.4,1
2023-10-15,1017.4,28.2,25,23.1,20.1,75,51,7.4,70,23.9,0
2023-10-16,1015.2,28.7,25.2,23.1,20.7,76,19,9.1,90,14.1,0
2023-10-17,1013.8,29.4,25.8,23.3,20.4,73,20,10.5,30,9.9,0
2023-10-18,1013.4,30.8,26.2,23.6,19.5,69,17,10.5,70,12.4,0
2023-10-19,1012.5,29.1,25.5,23.5,19.3,70,43,9.7,60,8.9,0
2023-10-20,1010.2,28.2,25.3,23.1,16.7,59,79,4.4,20,17.3,0
2023-10-21,1008.3,29.1,26.2,23.8,17.3,58,78,7.5,10,17.2,0
2023-10-22,1010.2,29.2,26.4,24.3,19.3,65,64,6.4,10,13.2,1
2023-10-23,1012,30.6,27,25.3,20.9,70,48,7.8,120,9.2,0
2023-10-24,1013,30.7,27,24.8,21.6,73,50,8.3,80,9.9,0
2023-10-25,1015,29.6,26.8,24.9,22.1,76,61,8.2,80,19.7,1
2023-10-26,1016.8,26.6,25.9,25.4,21.7,77,77,3,80,37.5,1
2023-10-27,1016.8,26.2,25.4,24.5,22.3,83,81,0.8,80,28.9,1
2023-10-28,1015.6,30.1,26.5,24.3,22.1,77,48,9.5,60,10.3,0
2023-10-29,1017,29.2,26.7,25.5,23.3,82,46,9.5,110,15.8,1
2023-10-30,1018.2,28.4,26.4,25.5,22.9,81,61,7,90,24.2,1
2023-10-31,1017.8,29.6,26.7,25.3,23.1,81,53,8.4,100,16.5,0
2023-11-01,1016.5,20.4,18.1,16.5,16.4,90,90,2.1,40,23.3,1
2023-11-02,1014.9,22.4,18.8,17.2,16.4,86,80,2.4,40,15.8,1
2023-11-03,1019.5,17.2,13.4,10,12.2,93,93,0,20,39.7,1
2023-11-04,1009.2,26.3,23.3,21.3,21.9,92,93,0,190,20.5,1
2023-11-05,1008.1,28.4,26.6,23.7,24.3,87,84,0.3,220,12,1
2023-11-06,1005.7,31.1,27.9,26.6,25.8,89,80,4.5,220,14.6,1
2023-11-07,1000.3,31.3,28.6,26.2,25,81,88,2.5,240,18.8,1
2023-11-08,1004.5,30.6,28.1,25.1,25.2,85,88,0.6,230,20.2,1
2023-11-09,1012.7,31.3,28.1,26.5,23.2,75,47,7.9,60,24.5,0
2023-11-10,1013.7,26.6,24.3,21.1,19.9,77,85,0.6,20,30.2,1
2023-11-11,1016.9,25.9,24.9,24,21.4,81,88,1.1,80,46.3,1
2023-11-12,1015.5,20.9,19.3,17.6,16.8,86,80,5.1,20,10.2,1
2023-11-13,1017.3,24.2,23.9,23.6,21.1,84,88,0,80,41.4,1
2023-11-14,1015.2,25.3,23.3,21,22.1,92,86,0.3,80,29.7,1
2023-11-15,1014.5,26.9,24.3,22.3,21.2,83,74,5.5,30,13.8,1
2023-11-16,1015.2,24.8,24.2,23.5,22.3,89,84,0.1,80,35.8,1
2023-11-17,1013.7,25.9,24.8,23.6,23.5,93,74,2.3,80,25.5,1
2023-11-18,1013.9,27.2,25.5,24.4,23.8,90,51,7,80,17.2,0
2023-11-19,1016,29.1,26.1,24.1,23.2,84,20,8.2,80,7.9,0
2023-11-20,1017,28.5,25.9,24.5,22.9,84,58,5.9,70,22.1,1
2023-11-21,1017.2,25.9,24.8,24.4,21.6,82,73,1.1,80,30.6,1
2023-11-22,1017,26,24.8,23.9,21.1,80,83,0.4,70,40.4,0
2023-11-23,1017.1,27.6,25.4,24,21.3,78,65,8.3,80,29.2,1
2023-11-24,1016.7,28.4,25.4,23.7,21.2,78,47,7.7,90,19.6,0
